lat,lon,heatDays,extraDays
60.5,0.625,5,2.0
60.5,1.8749999999999998,5,2.0
60.5,3.125,5,2.0
60.5,4.375,5,2.0
60.5,5.625,3,0.0
60.5,6.875,3,0.0
60.5,8.125,3,0.0
60.5,9.375,5,2.0
60.5,10.625,6,3.0
60.5,11.875,6,3.0
60.5,13.125000000000002,6,3.0
60.5,14.375,7,4.0
60.5,15.625000000000002,8,5.0
60.5,16.875,7,4.0
60.5,18.125,6,3.0
60.5,19.375,5,2.0
60.5,20.625,6,3.0
60.5,21.875,7,4.0
60.5,23.125,7,4.0
60.5,24.375,7,4.0
60.5,25.625,8,5.0
60.5,26.875,8,5.0
60.5,28.125,8,5.0
60.5,29.375,8,5.0
60.5,30.625000000000004,10,7.0
60.5,31.875000000000004,10,7.0
60.5,33.125,8,5.0
60.5,34.375,9,6.0
60.5,35.625,9,6.0
60.5,36.875,11,8.0
60.5,38.125,11,8.0
60.5,39.375,10,7.0
60.5,40.625,10,7.0
60.5,41.875,9,6.0
60.5,43.125,10,7.0
60.5,44.375,9,6.0
60.5,45.625,6,3.0
60.5,46.875,7,4.0
60.5,48.125,8,5.0
60.5,49.375,6,3.0
60.5,50.625,4,1.0
60.5,51.875,4,1.0
60.5,53.125,4,1.0
60.5,54.375,4,1.0
60.5,55.625,4,1.0
60.5,56.875,4,1.0
60.5,58.125,4,1.0
60.5,59.37499999999999,3,0.0
60.5,60.62499999999999,2,-1.0
60.5,61.87500000000001,3,0.0
60.5,63.12500000000001,3,0.0
60.5,64.375,3,0.0
60.5,65.625,3,0.0
60.5,66.875,2,-1.0
60.5,68.125,2,-1.0
60.5,69.375,2,-1.0
60.5,70.625,2,-1.0
60.5,71.87500000000001,1,-2.0
60.5,73.125,1,-2.0
60.5,74.375,1,-2.0
60.5,75.625,2,-1.0
60.5,76.875,2,-1.0
60.5,78.125,2,-1.0
60.5,79.375,2,-1.0
60.5,80.625,2,-1.0
60.5,81.875,2,-1.0
60.5,83.12500000000001,2,-1.0
60.5,84.375,2,-1.0
60.5,85.625,2,-1.0
60.5,86.875,1,-2.0
60.5,88.125,1,-2.0
60.5,89.375,1,-2.0
60.5,90.625,1,-2.0
60.5,91.875,1,-2.0
60.5,93.125,1,-2.0
60.5,94.37500000000001,2,-1.0
60.5,95.625,2,-1.0
60.5,96.875,2,-1.0
60.5,98.125,2,-1.0
60.5,99.375,2,-1.0
60.5,100.625,2,-1.0
60.5,101.875,3,0.0
60.5,103.125,4,1.0
60.5,104.375,4,1.0
60.5,105.62500000000001,6,3.0
60.5,106.875,6,3.0
60.5,108.125,6,3.0
60.5,109.375,6,3.0
60.5,110.625,7,4.0
60.5,111.875,7,4.0
60.5,113.125,8,5.0
60.5,114.375,8,5.0
60.5,115.62500000000001,8,5.0
60.5,116.87500000000001,8,5.0
60.5,118.125,7,4.0
60.5,119.375,7,4.0
60.5,120.625,8,5.0
60.5,121.875,9,6.0
60.5,123.125,10,7.0
60.5,124.375,10,7.0
60.5,125.625,11,8.0
60.5,126.875,10,7.0
60.5,128.125,11,8.0
60.5,129.375,8,5.0
60.5,130.625,8,5.0
60.5,131.875,8,5.0
60.5,133.12500000000003,8,5.0
60.5,134.375,7,4.0
60.5,135.625,7,4.0
60.5,136.875,8,5.0
60.5,138.125,7,4.0
60.5,139.375,9,6.0
60.5,140.625,10,7.0
60.5,141.875,13,10.0
60.5,143.125,13,10.0
60.5,144.375,15,12.0
60.5,145.625,15,12.0
60.5,146.875,18,15.0
60.5,148.125,18,15.0
60.5,149.375,12,9.0
60.5,150.625,14,11.0
60.5,151.875,17,14.0
60.5,153.125,14,11.0
60.5,154.375,12,9.0
60.5,155.625,11,8.0
60.5,156.875,8,5.0
60.5,158.125,7,4.0
60.5,159.375,10,7.0
60.5,160.625,9,6.0
60.5,161.875,8,5.0
60.5,163.125,8,5.0
60.5,164.375,9,6.0
60.5,165.625,10,7.0
60.5,166.875,7,4.0
60.5,168.125,6,3.0
60.5,169.375,6,3.0
60.5,170.625,8,5.0
60.5,171.875,9,6.0
60.5,173.125,7,4.0
60.5,174.375,7,4.0
60.5,175.625,6,3.0
60.5,176.87500000000003,6,3.0
60.5,178.125,6,3.0
60.5,179.375,7,4.0
60.5,180.625,7,4.0
60.5,181.875,7,4.0
60.5,183.125,9,6.0
60.5,184.375,7,4.0
60.5,185.625,7,4.0
60.5,186.875,7,4.0
60.5,188.125,3,0.0
60.5,189.375,3,0.0
60.5,190.625,3,0.0
60.5,191.875,3,0.0
60.5,193.125,3,0.0
60.5,194.375,3,0.0
60.5,195.625,2,-1.0
60.5,196.875,3,0.0
60.5,198.125,3,0.0
60.5,199.37500000000003,3,0.0
60.5,200.625,3,0.0
60.5,201.875,3,0.0
60.5,203.125,3,0.0
60.5,204.375,3,0.0
60.5,205.625,3,0.0
60.5,206.875,3,0.0
